타임스탬프,학년,성별,학과,취미,개인공부시간,공부 시간대,기대연봉,학과 만족여부,전공 선호도,소셜미디어 사용시간,등교시간,하교시간,하교후 가는 곳,학업 스트레스,친구관계,알바,방과후 여부
2023. 10. 12 오후 3:50:38,1학년,남자,소프트웨어개발과,음악,30분-1시간,밤,3000천,O,10,1시간-2시간,30-1시간,17시 ~ 17시 30분,집,좋음,나쁨,X,O
2023. 10. 12 오후 3:50:49,1학년,남자,소프트웨어개발과,게임,30분-1시간,밤,1억,X,0,1시간-2시간,30-1시간,바로 집에 가요!,집,매우 나쁨,나쁨,X,X
2023. 10. 12 오후 3:50:51,1학년,여자,소프트웨어개발과,기타,30분-1시간,밤,잘 모르겠다,X,5,2시간-3시간 이상,30-1시간,17시 ~ 17시 30분,집,좋음,나쁨,O,X
2023. 10. 12 오후 3:50:56,1학년,여자,소프트웨어개발과,음악,0-30분,밤,3000만원,X,8,2시간-3시간 이상,10-30분,18시 이후!,식당,좋음,좋음,X,X
2023. 10. 12 오후 3:50:57,1학년,남자,스마트웹콘텐츠과,운동,0-30분,기타,500,O,6,2시간-3시간 이상,10-30분,바로 집에 가요!,집,매우 좋음,매우 좋음,X,X
2023. 10. 12 오후 3:51:11,1학년,남자,소프트웨어개발과,운동,30분-1시간,밤,4000,O,6,30-1시간,10-30분,18시 이후!,학원 또는 방과후,매우 나쁨,매우 좋음,X,O
2023. 10. 12 오후 3:51:17,2학년,남자,소프트웨어개발과,게임,30분-1시간,방과후(저녁),700만,O,10,0-30분,10-30분,바로 집에 가요!,학원 또는 방과후,매우 좋음,매우 좋음,X,O
2023. 10. 12 오후 3:51:23,1학년,남자,스마트웹콘텐츠과,게임,2시간-3시간 이상,기타,모르겠다,X,4,1시간-2시간,10-30분,바로 집에 가요!,집,나쁨,나쁨,X,X
2023. 10. 12 오후 3:51:24,2학년,남자,소프트웨어개발과,게임,30분-1시간,기타,많이,X,0,30-1시간,10-30분,바로 집에 가요!,학원 또는 방과후,나쁨,매우 좋음,X,X
2023. 10. 12 오후 3:51:30,1학년,남자,소프트웨어개발과,운동,30분-1시간,방과후(저녁),700,O,7,2시간-3시간 이상,30-1시간,18시 이후!,집,좋음,좋음,X,O
2023. 10. 12 오후 3:51:33,1학년,여자,소프트웨어개발과,영상시청,0-30분,밤,5000,X,5,1시간-2시간,10-30분,17시 30분 ~ 18시,집,매우 나쁨,좋음,X,O
2023. 10. 12 오후 3:51:38,1학년,남자,소프트웨어개발과,영상시청,0-30분,밤,1억,O,10,2시간-3시간 이상,30-1시간,18시 이후!,집,매우 나쁨,매우 나쁨,X,O
2023. 10. 12 오후 3:51:47,1학년,남자,소프트웨어개발과,운동,2시간-3시간 이상,방과후(저녁),3300만원,O,10,1시간-2시간,30-1시간,17시 ~ 17시 30분,집,좋음,나쁨,X,O
