사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-24,2호선,224,서초,16,0,2220,4819,9171,23981,18201,53584,29842,108136,28188,87541,21590,42184,30485,36000,27245,26268,35585,27101,36728,25773,42992,22011,48236,23649,70685,26207,88650,26714,42773,18762,30103,12335,30070,11660,18094,11707,6091,6217,948,1558,0,0,0,0,0,0
Jun-24,2호선,225,방배,11,0,2851,3004,8991,11983,21278,26532,29144,68670,23649,49455,19431,29374,20338,25814,23359,26329,25951,25048,28090,24814,30703,23379,37599,24661,45882,31316,58324,35221,27632,23901,22509,16871,22197,15950,18066,16461,7426,9206,1452,2595,0,0,0,0,0,0
Jun-24,2호선,226,사당,83,6,13141,4159,30659,35826,77600,47542,98552,66916,74284,50967,51872,45946,47162,58889,52899,57567,56910,53211,64270,53784,65498,65324,68062,85884,80255,126074,97447,168558,68762,108532,67818,70587,73827,68883,68034,64559,36783,39870,5892,10932,3,555,0,0,0,0
Jun-24,2호선,227,낙성대(강감찬),39,2,12032,2356,27436,10766,80005,20439,117221,40600,77983,32627,45564,27762,39385,26096,42177,27796,41617,30137,38029,31917,39493,38528,41702,45178,45658,61423,49525,95862,29650,77898,24235,54400,22179,53782,16332,52995,8676,32842,1512,8575,1,182,0,0,0,0
Jun-24,2호선,228,서울대입구(관악구청),4743,32,28541,2719,43839,15758,119483,28681,163018,65171,111489,57542,69497,49477,60712,45792,67505,49855,68196,54815,63053,58774,67474,65883,73221,77882,80758,104354,86513,163140,52866,124586,47374,83289,47674,83701,41083,81711,22339,48319,3883,18672,0,3529,0,0,0,0
Jun-24,2호선,229,봉천,77,3,16369,1523,29407,7949,79703,13843,114416,27733,72263,21810,42377,19624,35870,21985,38432,25102,35673,26473,31747,29145,31654,36400,34233,43101,31893,56778,32010,84774,20167,68270,17501,44946,14744,44163,10992,41150,4766,24947,858,7628,2,512,0,0,0,0
Jun-24,2호선,230,신림,203,10,37938,4176,67569,17285,172920,27825,250103,43140,157592,43003,91388,41361,76422,46539,80193,51049,76540,57719,70717,62710,69558,78617,75596,97831,77258,130937,77887,206549,53407,175250,46159,119878,44135,117974,37001,111091,20948,71316,4179,22280,0,109,0,0,0,0
Jun-24,2호선,231,신대방,233,8,25649,2010,34528,9891,84841,14512,124138,24290,80010,19222,46783,19117,37815,19764,37659,22480,35391,26417,30644,29961,30464,39368,32886,47371,33608,60902,31777,88781,21518,74895,17486,55127,13715,58669,10663,55421,5164,32288,952,8940,6,80,0,0,0,0
Jun-24,2호선,232,구로디지털단지,406,28,40510,5202,52400,19528,133101,78368,173745,205353,112334,125328,70824,55174,62991,45016,69434,49296,66785,60667,62445,59506,66429,67123,81704,81299,131355,107385,185002,153491,92516,123949,60385,84024,51525,85777,40779,84183,18643,48854,3168,13829,0,168,0,1,0,0
Jun-24,2호선,233,대림(구로구청),830,21,37542,3413,28976,10752,64772,22604,90999,51574,62154,35887,41676,33860,34558,34500,36223,32722,34879,32810,32690,33298,34143,41536,38315,50019,43093,61050,49084,67481,26857,50228,20727,39588,16209,49022,12036,45617,5741,23514,708,5690,1,157,0,0,0,0
Jun-24,2호선,234,신도림,4074,10,37986,5099,52683,20928,128871,44607,139000,104089,89264,70047,63201,64442,61354,68232,68675,69008,73670,73832,75156,67992,79873,78312,88988,92319,105081,121422,120710,173994,73501,117788,71515,73645,63882,70557,55313,67783,24796,50050,2856,20754,17,2810,0,0,0,0
Jun-24,2호선,235,문래,30,0,4215,2538,14039,10811,41254,38080,47803,125243,27628,59263,20976,27999,21485,24723,26122,26695,26637,28108,27236,26301,29983,27755,35851,32525,61491,41167,103722,61163,38035,40201,28982,22637,31209,20318,24677,18443,11895,11182,1856,3489,0,88,0,0,0,0
Jun-24,2호선,236,영등포구청,43,3,5377,3525,13321,17313,38057,37350,47134,114392,30306,50495,23826,27465,24911,25200,27318,25987,28513,28949,29825,25704,32704,27702,39799,30916,54821,38349,94206,54861,36022,36566,27841,23197,25662,21277,19194,19515,8875,13170,1534,4384,0,105,0,0,0,0
Jun-24,2호선,237,당산,48,2,7198,3760,16125,12750,42492,27764,52153,70914,32759,31697,24740,17315,22708,16776,23739,18968,22437,21374,20375,21592,21963,26241,27034,32387,41057,46819,53055,69873,24645,46525,21032,32139,21152,32275,18228,29650,8998,19610,1409,4904,2,101,0,0,0,0
Jun-24,2호선,238,합정,109,12,10964,3042,18349,13194,41184,30910,50737,89834,36330,79705,28839,52706,30865,50980,37451,53943,41526,60206,44867,55554,48410,56447,57693,66511,76726,84702,108324,113862,73778,76631,64522,44103,72287,37812,66729,33604,35629,23228,5718,8160,2,52,1,2,0,0
Jun-24,2호선,239,홍대입구,1102,31,30795,3752,32199,19315,59334,40849,76258,106517,62885,129440,59429,113306,66729,132841,78333,155042,90754,169198,103012,160005,122705,161904,147152,173168,171249,199390,195805,229038,164537,165876,168814,110671,198064,93635,191740,75463,98253,52645,12130,19803,5,1998,0,0,0,0
Jun-24,2호선,240,신촌,57,2,7813,3339,14871,16464,34437,35929,52032,81802,39722,93814,40283,69261,47392,64988,59781,67194,63415,75444,65522,64854,74721,61645,86862,67897,99741,85086,93977,109475,67651,73539,72023,46666,77215,43423,71847,38816,34419,25463,5687,6624,0,66,1,0,0,0
Jun-24,2호선,241,이대,35,2,3886,850,9861,7187,27694,15196,36284,42615,24102,38424,20367,34231,22073,26076,27539,29174,28665,31794,27553,26045,32393,26764,35746,29961,44510,37043,38743,46003,24789,33160,22338,23724,22800,24305,17698,24540,6803,16699,964,4446,0,35,0,0,0,0
Jun-24,2호선,242,아현,54,1,5383,995,11120,4484,29257,11503,40911,20826,25347,13211,18597,11914,17132,10440,18633,12517,17187,13638,15968,15094,17436,16455,22062,19092,20270,24998,20245,31978,13444,24131,10131,17135,7494,16837,5433,16166,2292,9412,383,2570,0,20,0,0,0,0
Jun-24,2호선,243,충정로(경기대입구),41,2,3354,1046,6834,6676,15716,23532,20865,57402,14900,26693,12032,12785,12882,11237,13281,11607,13683,13712,13533,12423,14731,12360,18135,13591,30309,17143,44167,20664,14802,14088,10609,10410,9912,10645,6814,9550,3202,6255,612,1734,1,40,0,0,0,0
Jun-24,2호선,244,용답,13,1,2354,420,3456,1533,7885,1905,13023,3736,7433,3857,5478,3030,4822,3031,5051,3147,4851,3676,4501,3720,4574,4705,5426,5905,5130,6838,4126,10765,2843,6957,2149,5260,1639,6399,1207,5981,662,3434,179,1001,0,2,0,0,0,0
Jun-24,2호선,245,신답,19,2,1253,178,1992,799,5766,866,10350,1673,4414,1206,2628,1125,2131,1216,2118,1352,2146,1603,1869,1901,2011,2748,2233,3565,2233,4630,2038,9032,1175,5813,705,3296,609,3711,453,3169,179,1951,35,537,0,0,0,0,0,0
Jun-24,2호선,246,신설동,72,0,1214,318,1418,2085,4929,4501,8142,11832,5479,8637,5138,7702,6224,6879,7790,6910,7936,7547,8331,6149,8597,5578,9553,4927,11483,5445,11989,6681,4644,4779,3198,3441,2692,3365,1984,3118,824,2157,116,681,0,121,0,0,0,0
