년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2021-01,AAR,OZ,아시아나항공,국제,TSN,도착,정기,화물,0,0,0,833239,654386,1049,0
2021-01,AAR,OZ,아시아나항공,국제,TSN,출발,정기,화물,0,0,0,1100327,682573,0,0
2021-01,AAR,OZ,아시아나항공,국제,VDO,출발,부정기,여객,584,2,0,0,0,0,15325
2021-01,AAR,OZ,아시아나항공,국제,VIE,출발,정기,화물,0,0,0,1340673,460087,0,0
2021-01,AAR,OZ,아시아나항공,국제,YNT,도착,정기,화물,0,0,0,275150,228971,0,0
2021-01,AAR,OZ,아시아나항공,국제,YNT,도착,부정기,화물,0,0,0,161304,114071,0,0
2021-01,AAR,OZ,아시아나항공,국제,YNT,출발,정기,화물,0,0,0,204082,130113,0,0
2021-01,AAR,OZ,아시아나항공,국제,YNT,출발,부정기,화물,0,0,0,114192,57838,0,0
2021-01,ABL,BX,에어 부산,국제,DAC,도착,부정기,여객,108,0,0,0,0,0,2070
2021-01,ABL,BX,에어 부산,국제,DAC,출발,부정기,여객,80,0,0,0,0,0,4186
2021-01,ABL,BX,에어 부산,국제,ICN,도착,부정기,여객,356,1,0,0,0,0,0
2021-01,ABL,BX,에어 부산,국제,ICN,출발,부정기,여객,356,1,0,0,0,0,0
2021-01,ABL,BX,에어 부산,국제,NGB,도착,정기,여객,123,0,1,0,0,0,2667
2021-01,ABL,BX,에어 부산,국제,NGB,출발,정기,여객,349,1,0,0,0,0,6785
2021-01,ABW,RU,에어브릿지 화물항공,국제,DME,도착,정기,화물,0,0,0,421642,0,0,0
2021-01,ABW,RU,에어브릿지 화물항공,국제,DME,도착,부정기,화물,0,0,0,212227,0,0,0
2021-01,ABW,RU,에어브릿지 화물항공,국제,DME,출발,부정기,화물,0,0,0,59292,0,0,0
2021-01,ABW,RU,에어브릿지 화물항공,국제,HKG,출발,정기,화물,0,0,0,123928,0,0,0
2021-01,ABW,RU,에어브릿지 화물항공,국제,HKG,출발,부정기,화물,0,0,0,67685,0,0,0
2021-01,ABW,RU,에어브릿지 화물항공,국제,KJA,출발,부정기,화물,0,0,0,205758,0,0,0
2021-01,ABW,RU,에어브릿지 화물항공,국제,NRT,도착,정기,화물,0,0,0,388442,114719,0,0
2021-01,ABW,RU,에어브릿지 화물항공,국제,SVO,도착,정기,화물,0,0,0,248278,0,0,0
2021-01,ABW,RU,에어브릿지 화물항공,국제,SVO,도착,부정기,화물,0,0,0,284701,0,0,0
2021-01,ABW,RU,에어브릿지 화물항공,국제,SVO,출발,정기,화물,0,0,0,836366,0,0,0
2021-01,ACA,AC,캐나다항공,국제,YVR,도착,정기,여객,906,5,197,170129,0,0,42042
2021-01,ACA,AC,캐나다항공,국제,YVR,도착,부정기,화물,0,0,0,14720,0,0,0
2021-01,ACA,AC,캐나다항공,국제,YVR,출발,정기,여객,1375,10,154,179823,0,33873,56364
2021-01,ACA,AC,캐나다항공,국제,YVR,출발,부정기,화물,0,0,0,60165,0,0,0
2021-01,ACA,AC,캐나다항공,국제,YYZ,도착,부정기,화물,0,0,0,28922,0,0,0
2021-01,ACA,AC,캐나다항공,국제,YYZ,출발,부정기,화물,0,0,0,48596,0,0,0
2021-01,AFL,SU,에어로플로트항공,국제,SVO,도착,정기,여객,518,7,0,25232,0,13259,10825
2021-01,AFL,SU,에어로플로트항공,국제,SVO,도착,부정기,화물,0,0,0,501,0,8,0
2021-01,AFL,SU,에어로플로트항공,국제,SVO,출발,정기,여객,572,8,18,66017,0,3852,14790
2021-01,AFL,SU,에어로플로트항공,국제,SVO,출발,부정기,화물,0,0,0,16600,0,0,0
2021-01,AFR,AF,프랑스항공,국제,CDG,도착,정기,여객,751,9,16,269188,0,9912,22570
